,experiment
G450_Watkins07_AVR_rh3053_B_D7-SIV_RNA1_Lib1_GL104_S46_nohmrRNA_noglobinLog,37667081
G449_Watkins07_AVR_rh3053_B_D3-SIV_RNA1_Lib1_GL104_S75_nohmrRNA_noglobinLog,38690753
G451_Watkins07_AVR_rh3053_B_D10-SIV_RNA1_Lib1_GL104_S70_nohmrRNA_noglobinLog,36652920
G239_Watkins07_AVR_rh3048_B_D196_RNA1_Lib1_GL102_S79_nohmrRNA_noglobinLog,32831955
G452_Watkins07_AVR_rh3053_B_D14-SIV_RNA1_Lib1_GL105_S91_nohmrRNA_noglobinLog,49329331
G453_Watkins07_AVR_rh3053_B_D0_RNA1_Lib1_GL104_S27_nohmrRNA_noglobinLog,40013882
G240_Watkins07_AVR_rh3053_B_D196_RNA1_Lib1_GL102_S18_nohmrRNA_noglobinLog,29505002
G454_Watkins07_Unvax_rh2995_B_D7_RNA1_Lib1_GL104_S92_nohmrRNA_noglobinLog,35350417
G455_Watkins07_AVR_rh3033_B_D7-SIV_RNA1_Lib1_GL105_S99_nohmrRNA_noglobinLog,45678099
G241_Watkins07_AVR_r08014_B_D224_RNA1_Lib1_GL105_S98_nohmrRNA_noglobinLog,44829997
G242_Watkins07_AVR_r14065_B_D224_RNA1_Lib1_GL102_S54_nohmrRNA_noglobinLog,30937319
G243_Watkins07_AVR_r16007_B_D224_RNA1_Lib1_GL102_S33_nohmrRNA_noglobinLog,30743379
G244_Watkins07_AVR_r17017_B_D224_RNA2_Lib1_GL102_S100_nohmrRNA_noglobinLog,42553712
G245_Watkins07_AVR_r17115_B_D224_RNA1_Lib1_GL102_S59_nohmrRNA_noglobinLog,32204318
G246_Watkins07_AVR_rh2932_B_D224_RNA1_Lib1_GL102_S2_nohmrRNA_noglobinLog,34784685
G247_Watkins07_AVR_rh2943_B_D224_RNA1_Lib1_GL104_S82_nohmrRNA_noglobinLog,28717572
G248_Watkins07_AVR_rh3006_B_D224_RNA1_Lib1_GL102_S22_nohmrRNA_noglobinLog,38167327
G249_Watkins07_AVR_rh3011_B_D224_RNA1_Lib1_GL102_S53_nohmrRNA_noglobinLog,33194248
G250_Watkins07_AVR_rh3032_B_D224_RNA1_Lib1_GL102_S84_nohmrRNA_noglobinLog,37378846
G251_Watkins07_AVR_rh3033_B_D224_RNA1_Lib1_GL102_S72_nohmrRNA_noglobinLog,38759114
