,experiment
G234_Watkins07_AVR_rh3032_B_D196_RNA1_Lib1_GL104_S22_nohmrRNA_noglobinLog,35453209
G439_Watkins07_AVR_rh3045_B_D3-SIV_RNA1_Lib1_GL102_S45_nohmrRNA_noglobinLog,30515988
G441_Watkins07_AVR_rh3045_B_D10-SIV_RNA1_Lib1_GL102_S24_nohmrRNA_noglobinLog,32976570
G440_Watkins07_AVR_rh3045_B_D7-SIV_RNA1_Lib1_GL104_S12_nohmrRNA_noglobinLog,37647952
G235_Watkins07_AVR_rh3033_B_D196_RNA1_Lib1_GL104_S85_nohmrRNA_noglobinLog,36699215
G444_Watkins07_AVR_rh3048_B_D3-SIV_RNA1_Lib1_GL104_S56_nohmrRNA_noglobinLog,39800442
G443_Watkins07_AVR_rh3048_B_D0-SIV_RNA1_Lib1_GL102_S91_nohmrRNA_noglobinLog,39779881
G442_Watkins07_AVR_rh3045_B_D14-SIV_RNA1_Lib1_GL102_S10_nohmrRNA_noglobinLog,33267992
G236_Watkins07_AVR_rh3036_B_D196_RNA1_Lib1_GL102_S37_nohmrRNA_noglobinLog,39063495
G447_Watkins07_AVR_rh3048_B_D14-SIV_RNA1_Lib1_GL104_S18_nohmrRNA_noglobinLog,39810676
G237_Watkins07_AVR_rh3037_B_D196_RNA1_Lib1_GL102_S68_nohmrRNA_noglobinLog,33456671
G446_Watkins07_AVR_rh3048_B_D10-SIV_RNA1_Lib1_GL104_S97_nohmrRNA_noglobinLog,47900162
G445_Watkins07_AVR_rh3048_B_D7-SIV_RNA1_Lib1_GL105_S88_nohmrRNA_noglobinLog,52331928
G448_Watkins07_AVR_rh3053_B_D-7-SIV_RNA1_Lib1_GL104_S35_nohmrRNA_noglobinLog,41499748
G238_Watkins07_AVR_rh3045_B_D196_RNA1_Lib1_GL104_S91_nohmrRNA_noglobinLog,41753111
G450_Watkins07_AVR_rh3053_B_D7-SIV_RNA1_Lib1_GL104_S46_nohmrRNA_noglobinLog,41060837
G449_Watkins07_AVR_rh3053_B_D3-SIV_RNA1_Lib1_GL104_S75_nohmrRNA_noglobinLog,41902363
G451_Watkins07_AVR_rh3053_B_D10-SIV_RNA1_Lib1_GL104_S70_nohmrRNA_noglobinLog,39671290
G239_Watkins07_AVR_rh3048_B_D196_RNA1_Lib1_GL102_S79_nohmrRNA_noglobinLog,35793053
G452_Watkins07_AVR_rh3053_B_D14-SIV_RNA1_Lib1_GL105_S91_nohmrRNA_noglobinLog,53161167
G453_Watkins07_AVR_rh3053_B_D0_RNA1_Lib1_GL104_S27_nohmrRNA_noglobinLog,43390628
G240_Watkins07_AVR_rh3053_B_D196_RNA1_Lib1_GL102_S18_nohmrRNA_noglobinLog,32400888
G454_Watkins07_Unvax_rh2995_B_D7_RNA1_Lib1_GL104_S92_nohmrRNA_noglobinLog,38272993
G455_Watkins07_AVR_rh3033_B_D7-SIV_RNA1_Lib1_GL105_S99_nohmrRNA_noglobinLog,49152806
G241_Watkins07_AVR_r08014_B_D224_RNA1_Lib1_GL105_S98_nohmrRNA_noglobinLog,47906672
G242_Watkins07_AVR_r14065_B_D224_RNA1_Lib1_GL102_S54_nohmrRNA_noglobinLog,33790546
G243_Watkins07_AVR_r16007_B_D224_RNA1_Lib1_GL102_S33_nohmrRNA_noglobinLog,33659082
G244_Watkins07_AVR_r17017_B_D224_RNA2_Lib1_GL102_S100_nohmrRNA_noglobinLog,46931950
G245_Watkins07_AVR_r17115_B_D224_RNA1_Lib1_GL102_S59_nohmrRNA_noglobinLog,35237642
G246_Watkins07_AVR_rh2932_B_D224_RNA1_Lib1_GL102_S2_nohmrRNA_noglobinLog,37690809
G247_Watkins07_AVR_rh2943_B_D224_RNA1_Lib1_GL104_S82_nohmrRNA_noglobinLog,31257733
G248_Watkins07_AVR_rh3006_B_D224_RNA1_Lib1_GL102_S22_nohmrRNA_noglobinLog,41886691
G249_Watkins07_AVR_rh3011_B_D224_RNA1_Lib1_GL102_S53_nohmrRNA_noglobinLog,36157669
G250_Watkins07_AVR_rh3032_B_D224_RNA1_Lib1_GL102_S84_nohmrRNA_noglobinLog,40874793
G251_Watkins07_AVR_rh3033_B_D224_RNA1_Lib1_GL102_S72_nohmrRNA_noglobinLog,42731974
G252_Watkins07_AVR_rh3036_B_D224_RNA1_Lib1_GL104_S3_nohmrRNA_noglobinLog,48946087
G253_Watkins07_AVR_rh3037_B_D224_RNA1_Lib1_GL104_S5_nohmrRNA_noglobinLog,41757685
G254_Watkins07_AVR_rh3045_B_D224_RNA1_Lib1_GL102_S52_nohmrRNA_noglobinLog,32834129
G255_Watkins07_AVR_rh3048_B_D224_RNA1_Lib1_GL102_S23_nohmrRNA_noglobinLog,30526996
