file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G338_Watkins07_Unvax_r17100_B_D0-SIV_RNA1_Lib1_GL102_S47_rRNA_globinfilter.log	31675459	5206	0.02	46249	0.15	3552	0.01	94853	0.15	126533	0.20	0.52
../logs/rRNA_globinfilter/G339_Watkins07_Unvax_r17100_B_D4-SIV_RNA1_Lib1_GL104_S19_rRNA_globinfilter.log	47859294	7200	0.02	63388	0.13	4580	0.01	144629	0.15	183800	0.19	0.50
../logs/rRNA_globinfilter/G340_Watkins07_Unvax_r17100_B_D7-SIV_RNA1_Lib1_GL105_S74_rRNA_globinfilter.log	49845473	9936	0.02	88664	0.18	6281	0.01	174068	0.17	221308	0.22	0.61
../logs/rRNA_globinfilter/G341_Watkins07_Unvax_r17100_B_D10-SIV_RNA1_Lib1_GL102_S16_rRNA_globinfilter.log	41237906	6932	0.02	52820	0.13	4192	0.01	111845	0.14	138465	0.17	0.46
../logs/rRNA_globinfilter/G342_Watkins07_Unvax_r17100_B_D14-SIV_RNA1_Lib1_GL102_S43_rRNA_globinfilter.log	37839193	5830	0.02	66332	0.18	4011	0.01	80288	0.11	119302	0.16	0.47
../logs/rRNA_globinfilter/G343_Watkins07_AVR_r17115_B_D0-SIV_RNA1_Lib1_GL102_S41_rRNA_globinfilter.log	30991022	5556	0.02	48046	0.16	3710	0.01	93667	0.15	121022	0.20	0.53
../logs/rRNA_globinfilter/G344_Watkins07_AVR_r17115_B_D3-SIV_RNA1_Lib1_GL102_S76_rRNA_globinfilter.log	29879606	5287	0.02	46364	0.16	4116	0.01	100867	0.17	138576	0.23	0.59
../logs/rRNA_globinfilter/G345_Watkins07_AVR_r17115_B_D7-SIV_RNA1_Lib1_GL104_S66_rRNA_globinfilter.log	38126150	7248	0.02	60008	0.16	4076	0.01	127178	0.17	157673	0.21	0.56
../logs/rRNA_globinfilter/G346_Watkins07_AVR_r17115_B_D10-SIV_RNA1_Lib1_GL104_S95_rRNA_globinfilter.log	42134102	6938	0.02	53551	0.13	3912	0.01	108790	0.13	128289	0.15	0.43
../logs/rRNA_globinfilter/G347_Watkins07_AVR_r17115_B_D14-SIV_RNA1_Lib1_GL104_S83_rRNA_globinfilter.log	48047007	6572	0.01	55226	0.11	3757	0.01	124292	0.13	152244	0.16	0.42
../logs/rRNA_globinfilter/G348_Watkins07_Unvax_r18066_B_D0-SIV_RNA1_Lib1_GL105_S89_rRNA_globinfilter.log	48318779	6993	0.01	67189	0.14	4245	0.01	144950	0.15	184517	0.19	0.50
../logs/rRNA_globinfilter/G349_Watkins07_Unvax_r18066_B_D3-SIV_RNA1_Lib1_GL104_S39_rRNA_globinfilter.log	45112986	7676	0.02	63803	0.14	4491	0.01	122086	0.14	154089	0.17	0.47
